smiles,ee
c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N1CCCC1)cccc2.C(=C)(c1ccccc1)NC(=O)C.ClCCl,82
c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N1CCCC1)cccc2.C(=C)(c1ccc(cc1)Cl)NC(=O)C.ClCCl,83
c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N1CCCC1)cccc2.C=C(NC(=O)C)c1ccc(cc1)OC.ClCCl,76
c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N1CCCC1)cccc2.C(=C(\NC(=O)C)/c1ccccc1)\CC.ClCCl,77
c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N1CCCC1)cccc2.C(=C(\NC(=O)C)/c1ccccc1)/CC.ClCCl,0
c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N1CCCC1)cccc2.C=C(CC(=O)OC)C(=O)OC.ClCCl,83
c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N1CCCCC1)cccc2.C=C(NC(=O)C)C(=O)OC.ClCCl,99
c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N1CCCCC1)cccc2.C(=C(\NC(=O)C)/C(=O)OC)\c1ccccc1.ClCCl,99
c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N1CCCCC1)cccc2.C(=C)(c1ccccc1)NC(=O)C.ClCCl,99
c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N1CCCCC1)cccc2.C(=C)(c1ccc(cc1)Cl)NC(=O)C.ClCCl,99
c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N1CCCCC1)cccc2.C=C(NC(=O)C)c1ccc(cc1)OC.ClCCl,99
c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N1CCCCC1)cccc2.C(=C(\NC(=O)C)/c1ccccc1)\CC.ClCCl,96
c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N1CCCCC1)cccc2.C(=C(\NC(=O)C)/c1ccccc1)/CC.ClCCl,3
c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N1CCCCC1)cccc2.C=C(CC(=O)OC)C(=O)OC.ClCCl,99
c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N1CCCCCC1)cccc2.C=C(NC(=O)C)C(=O)OC.ClCCl,97
c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N1CCCCCC1)cccc2.C(=C(\NC(=O)C)/C(=O)OC)\c1ccccc1.ClCCl,97
c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N1CCCCCC1)cccc2.C(=C)(c1ccccc1)NC(=O)C.ClCCl,94
c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N1CCCCCC1)cccc2.C(=C)(c1ccc(cc1)Cl)NC(=O)C.ClCCl,94
c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N1CCCCCC1)cccc2.C=C(NC(=O)C)c1ccc(cc1)OC.ClCCl,92
c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N1CCCCCC1)cccc2.C(=C(\NC(=O)C)/c1ccccc1)\CC.ClCCl,88
c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N1CCCCCC1)cccc2.C(=C(\NC(=O)C)/c1ccccc1)/CC.ClCCl,1
c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N1CCCCCC1)cccc2.C=C(CC(=O)OC)C(=O)OC.ClCCl,93
c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N1CCOCC1)cccc2.C=C(NC(=O)C)C(=O)OC.ClCCl,99
c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N1CCOCC1)cccc2.C(=C(\NC(=O)C)/C(=O)OC)\c1ccccc1.ClCCl,98
c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N1CCOCC1)cccc2.C(=C)(c1ccccc1)NC(=O)C.ClCCl,99
c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N1CCOCC1)cccc2.C(=C)(c1ccc(cc1)Cl)NC(=O)C.ClCCl,99
c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N1CCOCC1)cccc2.C=C(NC(=O)C)c1ccc(cc1)OC.ClCCl,99
c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N1CCOCC1)cccc2.C(=C(\NC(=O)C)/c1ccccc1)\CC.ClCCl,98
c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N1CCOCC1)cccc2.C(=C(\NC(=O)C)/c1ccccc1)/CC.ClCCl,23
c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N1CCOCC1)cccc2.C=C(CC(=O)OC)C(=O)OC.ClCCl,98
c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N1CCN(CC1)c1ccccc1)cccc2.C=C(NC(=O)C)C(=O)OC.ClCCl,96
c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N1CCN(CC1)c1ccccc1)cccc2.C(=C(\NC(=O)C)/C(=O)OC)\c1ccccc1.ClCCl,97
c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N1CCN(CC1)c1ccccc1)cccc2.C(=C)(c1ccccc1)NC(=O)C.ClCCl,99
c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N1CCN(CC1)c1ccccc1)cccc2.C(=C)(c1ccc(cc1)Cl)NC(=O)C.ClCCl,99
c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N1CCN(CC1)c1ccccc1)cccc2.C=C(NC(=O)C)c1ccc(cc1)OC.ClCCl,98
c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N1CCN(CC1)c1ccccc1)cccc2.C(=C(\NC(=O)C)/c1ccccc1)\CC.ClCCl,98
c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N1CCN(CC1)c1ccccc1)cccc2.C(=C(\NC(=O)C)/c1ccccc1)/CC.ClCCl,17
c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N1CCN(CC1)c1ccccc1)cccc2.C=C(CC(=O)OC)C(=O)OC.ClCCl,91
c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N1CCc3c(C1)cccc3)cccc2.C=C(NC(=O)C)C(=O)OC.ClCCl,99
c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N1CCc3c(C1)cccc3)cccc2.C(=C(\NC(=O)C)/C(=O)OC)\c1ccccc1.ClCCl,99
c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N1CCc3c(C1)cccc3)cccc2.C(=C)(c1ccccc1)NC(=O)C.ClCCl,94
c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N1CCc3c(C1)cccc3)cccc2.C(=C)(c1ccc(cc1)Cl)NC(=O)C.ClCCl,93
c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N1CCc3c(C1)cccc3)cccc2.C=C(NC(=O)C)c1ccc(cc1)OC.ClCCl,94
c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N1CCc3c(C1)cccc3)cccc2.C(=C(\NC(=O)C)/c1ccccc1)\CC.ClCCl,89
c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N1CCc3c(C1)cccc3)cccc2.C(=C(\NC(=O)C)/c1ccccc1)/CC.ClCCl,12
c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N1CCc3c(C1)cccc3)cccc2.C=C(CC(=O)OC)C(=O)OC.ClCCl,97
c1(cc2c(c(c1P(c1ccccc1)c1ccccc1)c1c(c(cc3c1cccc3)CCc1ccccc1)P(c1ccccc1)c1ccccc1)cccc2)CCc1ccccc1.C=C(NC(=O)C)C(=O)OC.OC,98
